COUNTY_NAME,STATE_NAME,FIPS,county_pop2018_18 and older,anycondition_number,Obesity_number,Heart disease_number,COPD_number,diabetes_number,CKD_number,proportionAnyCondition,proportionObese,proportionHeartDisease,proportionCOPD,proportionDiabetes,proportionCKD
Brown,Illinois,17009,5515,2587,1958,359,419,547,149,0.469084316,0.355031732,0.065095195,0.075974615,0.099184044,0.027017226
Bureau,Illinois,17011,25915,12280,8889,2170,2343,3067,868,0.47385684,0.343005981,0.083735288,0.090410959,0.118348447,0.033494115
Calhoun,Illinois,17013,3811,1827,1292,350,386,468,134,0.479401732,0.33901863,0.091839412,0.101285752,0.122802414,0.035161375
Carroll,Illinois,17015,11539,5604,3958,1025,1089,1400,398,0.485657336,0.34301066,0.088829188,0.094375596,0.121327671,0.034491724
Cass,Illinois,17017,9342,4553,3410,780,906,1133,315,0.487368872,0.365018197,0.083493899,0.096981374,0.12128024,0.03371869
Champaign,Illinois,17019,170549,62310,47583,9177,10215,14748,4186,0.365349548,0.278998997,0.053808583,0.05989481,0.086473682,0.024544266
Christian,Illinois,17021,26051,13118,9300,2172,2503,2990,855,0.503550727,0.356992054,0.083374918,0.096080765,0.114774865,0.032820237
Clark,Illinois,17023,12056,5795,3954,1004,1149,1394,396,0.480673524,0.327969476,0.083278036,0.095305242,0.115627074,0.032846715
Clay,Illinois,17025,10213,4945,3554,889,1016,1224,349,0.484186821,0.347987859,0.087045922,0.099481054,0.119847254,0.034172134
Clinton,Illinois,17027,29687,12925,10064,2090,2380,2952,857,0.435375754,0.339003604,0.070401186,0.080169771,0.099437464,0.028867855
Coles,Illinois,17029,41683,18525,13505,3108,3629,4444,1283,0.444425785,0.323992995,0.074562771,0.087061872,0.106614207,0.030779934
Cook,Illinois,17031,4050821,1586911,1215246,242072,256526,436733,123364,0.391750462,0.299999926,0.05975875,0.063326916,0.107813453,0.030454073
Crawford,Illinois,17033,15066,6884,5107,1177,1351,1647,475,0.456922873,0.338975176,0.078122926,0.089672109,0.109318996,0.031527944
Cumberland,Illinois,17035,8412,3997,2768,718,821,983,279,0.475154541,0.329053733,0.085354256,0.097598669,0.116856871,0.033166904
DeKalb,Illinois,17037,81851,31419,26029,4633,5393,6990,2055,0.383856031,0.318004667,0.056602852,0.065888016,0.085399079,0.025106596
De Witt,Illinois,17039,12401,5780,4291,971,1111,1382,389,0.466091444,0.346020482,0.078300137,0.089589549,0.111442626,0.031368438
Douglas,Illinois,17041,14631,6778,5004,1211,1406,1668,483,0.463262935,0.342013533,0.082769462,0.096097328,0.114004511,0.033012098
DuPage,Illinois,17043,718037,238307,181663,39688,40499,62696,18307,0.331886797,0.252999497,0.055272918,0.056402386,0.087315835,0.025495901
Edgar,Illinois,17045,13820,6564,4740,1165,1306,1590,458,0.474963821,0.342981187,0.084298119,0.094500724,0.115050651,0.033140376
Edwards,Illinois,17047,4959,2359,1755,408,454,560,162,0.475700746,0.353901996,0.082274652,0.091550716,0.112925993,0.032667877
Effingham,Illinois,17049,26104,10820,8197,1919,2179,2652,779,0.414495863,0.314013178,0.073513638,0.083473797,0.101593625,0.02984217
Fayette,Illinois,17051,16899,8312,6117,1531,1805,2104,596,0.491863424,0.361974081,0.090597077,0.106811054,0.124504409,0.035268359
Ford,Illinois,17053,10227,4937,3498,857,969,1157,339,0.482741762,0.342035788,0.08379779,0.094749193,0.113131906,0.033147551
Franklin,Illinois,17055,30089,15821,11404,2802,3261,3921,1097,0.525806773,0.37900894,0.093123733,0.108378477,0.130313404,0.036458506
Fulton,Illinois,17057,27952,13943,9504,2429,2771,3321,962,0.498819405,0.340011448,0.08689897,0.09913423,0.118810819,0.034416142
Gallatin,Illinois,17059,4004,2069,1502,404,463,547,155,0.516733267,0.375124875,0.100899101,0.115634366,0.136613387,0.038711289
Greene,Illinois,17061,10270,4959,3564,879,1026,1220,342,0.482862707,0.347030185,0.085589094,0.099902629,0.1187926,0.033300876
Grundy,Illinois,17063,38070,15786,12563,2341,2689,3508,989,0.41465721,0.329997373,0.061491988,0.070633044,0.092146047,0.025978461
Hamilton,Illinois,17065,6369,2885,2083,537,595,727,213,0.452975349,0.327052913,0.084314649,0.093421259,0.114146648,0.033443241
Hancock,Illinois,17067,14110,6517,4473,1252,1340,1663,486,0.461871013,0.317009213,0.088731396,0.094968108,0.117859674,0.034443657
Hardin,Illinois,17069,3200,1643,1162,339,382,451,127,0.5134375,0.363125,0.1059375,0.119375,0.1409375,0.0396875
Henderson,Illinois,17071,5494,2741,2005,494,540,668,191,0.4989079,0.364943575,0.089916272,0.098289043,0.121587186,0.034765198
Henry,Illinois,17073,38113,17991,12654,3033,3349,4195,1221,0.47204366,0.332012699,0.079579146,0.08787028,0.110067431,0.032036313
Iroquois,Illinois,17075,21640,11004,7899,1954,2162,2669,761,0.508502773,0.365018484,0.090295749,0.099907579,0.123336414,0.035166359
Jackson,Illinois,17077,46946,20436,14741,3256,3677,4917,1425,0.435308652,0.313999063,0.069356282,0.078324032,0.104737358,0.030354024
Jasper,Illinois,17079,7401,3453,2539,611,691,831,239,0.466558573,0.343061748,0.082556411,0.093365761,0.112282124,0.032292933
Jefferson,Illinois,17081,29448,14933,11249,2487,2872,3565,1005,0.507097256,0.381995382,0.084453953,0.097527846,0.121060853,0.034127954
Jersey,Illinois,17083,17392,7884,5792,1325,1491,1855,530,0.453311868,0.333026679,0.076184453,0.085729071,0.106658234,0.030473781
Jo Daviess,Illinois,17085,17349,7862,5552,1596,1629,2128,610,0.45316733,0.320018445,0.091993775,0.093895902,0.122658366,0.035160528
Johnson,Illinois,17087,10153,4872,3645,880,1004,1220,345,0.47985817,0.35900719,0.086673889,0.098887028,0.120161529,0.033980104
Kane,Illinois,17089,398207,161671,125037,23918,26611,40331,11138,0.405997383,0.314000005,0.060064238,0.066827052,0.101281494,0.027970377
Kankakee,Illinois,17091,85001,43352,30430,6373,7175,9805,2690,0.510017529,0.357995788,0.074975589,0.084410772,0.115351584,0.031646687
Kendall,Illinois,17093,91503,38923,30654,4397,5047,7681,2066,0.425374031,0.33500541,0.048053069,0.055156662,0.083942603,0.022578495
Knox,Illinois,17095,40275,20089,14902,3604,3980,5007,1435,0.498795779,0.370006207,0.089484792,0.098820608,0.124320298,0.035630043
Lake,Illinois,17097,531946,197045,145753,30857,32426,50762,13964,0.370422938,0.273999617,0.058007768,0.060957315,0.095426979,0.026250785
LaSalle,Illinois,17099,85867,43207,30912,6846,7802,9858,2774,0.503185158,0.359998602,0.079727951,0.090861449,0.114805455,0.032305775
Lawrence,Illinois,17101,12819,6406,4756,1018,1213,1474,413,0.499726968,0.371011779,0.079413371,0.094625166,0.114985568,0.032217802
Lee,Illinois,17103,27483,12494,9262,2173,2411,3071,873,0.454608303,0.337008332,0.07906706,0.087726958,0.111741804,0.031765091
Livingston,Illinois,17105,28089,13278,9803,2271,2611,3194,908,0.472711738,0.348997828,0.080850155,0.092954537,0.113709993,0.032325821
Logan,Illinois,17107,23326,10519,7838,1670,1899,2382,688,0.450956015,0.336019892,0.07159393,0.081411301,0.102117808,0.029494984
McDonough,Illinois,17109,24839,10463,8048,1709,1911,2394,716,0.421232739,0.324006603,0.068803092,0.076935464,0.096380692,0.028825637
McHenry,Illinois,17111,236174,95299,75812,14123,15989,21851,6106,0.403511818,0.321000618,0.059799131,0.067700086,0.092520769,0.02585382
McLean,Illinois,17113,135692,50324,38808,7429,8247,11180,3312,0.370869322,0.286000649,0.05474899,0.060777349,0.082392477,0.024408219
Macon,Illinois,17115,81562,38323,27650,6677,7365,10017,2780,0.469863417,0.33900591,0.081864103,0.090299404,0.122814546,0.0340845
Macoupin,Illinois,17117,35669,16090,11842,2923,3341,4045,1160,0.451091985,0.331996972,0.08194791,0.093666769,0.113403796,0.032521237
Madison,Illinois,17119,206705,96548,69453,14817,17053,22006,6269,0.467081106,0.336000581,0.071681865,0.082499214,0.106460898,0.030328246
Marion,Illinois,17121,28882,13965,9704,2600,2976,3586,1029,0.483519147,0.335987812,0.090021467,0.103039956,0.124160377,0.035627727
Marshall,Illinois,17123,9233,4495,3268,807,876,1098,314,0.48684068,0.353947796,0.087403877,0.094877071,0.118921261,0.034008448
Mason,Illinois,17125,10746,5225,3675,995,1126,1352,384,0.486227433,0.341987716,0.092592593,0.104783175,0.125814256,0.035734227
Massac,Illinois,17127,10972,5427,3873,1029,1171,1446,409,0.494622676,0.352989428,0.093784178,0.106726212,0.131790011,0.037276704
Menard,Illinois,17129,9587,4283,3125,712,796,1001,287,0.446750808,0.325962241,0.074267237,0.083029102,0.104412225,0.029936372
Mercer,Illinois,17131,12263,5814,4317,1018,1116,1379,398,0.474109109,0.352034576,0.083013944,0.091005464,0.112452092,0.032455354
Monroe,Illinois,17133,26747,11483,8586,1734,1881,2436,721,0.429319176,0.321007964,0.064829701,0.070325644,0.091075635,0.026956294
Montgomery,Illinois,17135,22862,11469,7979,1986,2261,2748,775,0.501662147,0.349007086,0.08686904,0.098897734,0.120199458,0.033899046
Morgan,Illinois,17137,27568,12893,9787,2208,2503,3132,890,0.467679919,0.355013059,0.080092861,0.090793674,0.113609983,0.032283807
Moultrie,Illinois,17139,10978,5083,3568,874,1012,1183,347,0.463016943,0.325013664,0.079613773,0.092184369,0.107760976,0.031608672
Ogle,Illinois,17141,39503,17568,13313,3076,3451,4415,1243,0.444725717,0.337012379,0.077867504,0.087360454,0.111763664,0.031465965
Peoria,Illinois,17143,138002,70240,51475,10091,11113,15659,4357,0.508978131,0.373001841,0.073122129,0.080527818,0.11346937,0.031572006
Perry,Illinois,17145,17069,8629,5991,1420,1662,1994,562,0.505536352,0.35098717,0.083191751,0.0973695,0.116819966,0.032925186
Piatt,Illinois,17147,12699,5507,4013,896,973,1240,363,0.433656193,0.316009135,0.070556737,0.076620206,0.097645484,0.028584928
Pike,Illinois,17149,12125,5988,4341,1109,1269,1515,432,0.49385567,0.358020619,0.091463918,0.104659794,0.124948454,0.035628866
Pope,Illinois,17151,3701,1774,1240,359,390,480,136,0.479329911,0.335044583,0.097000811,0.105376925,0.129694677,0.036746825
Pulaski,Illinois,17153,4284,2358,1739,447,496,727,192,0.550420168,0.405929038,0.104341737,0.115779645,0.169701214,0.044817927
Putnam,Illinois,17155,4589,2081,1501,375,409,523,147,0.453475703,0.327086511,0.08171715,0.089126171,0.113968185,0.032033123
Randolph,Illinois,17157,25903,13042,9480,2187,2530,3100,866,0.503493804,0.365980774,0.084430375,0.097672084,0.119677257,0.033432421
Richland,Illinois,17159,12095,5803,4124,1072,1182,1443,422,0.479785035,0.340967342,0.088631666,0.097726333,0.119305498,0.034890451
Rock Island,Illinois,17161,111514,54115,38584,8778,9523,12988,3661,0.485275391,0.346001399,0.078716574,0.085397349,0.116469681,0.032829959
St. Clair,Illinois,17163,199986,98490,80594,14351,16145,23890,6516,0.492484474,0.40299821,0.071760023,0.080730651,0.119458362,0.032582281
Saline,Illinois,17165,18726,9179,6704,1778,2070,2449,708,0.49017409,0.358004913,0.0949482,0.110541493,0.130780733,0.037808395
Sangamon,Illinois,17167,152001,63122,50008,10861,12115,15971,4656,0.415273584,0.328997836,0.071453477,0.079703423,0.105071677,0.030631377
Schuyler,Illinois,17169,5652,2789,2018,522,569,719,201,0.493453645,0.357041755,0.092356688,0.100672328,0.127211607,0.035562633
Scott,Illinois,17171,3863,1807,1306,326,371,451,127,0.467771162,0.338079213,0.08439037,0.096039348,0.116748641,0.032876003
Shelby,Illinois,17173,17099,8149,5762,1514,1673,2040,585,0.476577578,0.336978771,0.08854319,0.097841979,0.119305223,0.034212527
Stark,Illinois,17175,4260,2013,1440,400,441,536,154,0.472535211,0.338028169,0.093896714,0.103521127,0.125821596,0.036150235
Stephenson,Illinois,17177,35194,18255,13690,3161,3387,4459,1280,0.518696369,0.388986759,0.089816446,0.096237995,0.126697733,0.036369836
Tazewell,Illinois,17179,102333,46521,33565,7373,8252,10271,3014,0.454604087,0.327997811,0.072049095,0.080638699,0.100368405,0.029452865
Union,Illinois,17181,13301,6621,4815,1217,1355,1673,478,0.497782122,0.362002857,0.09149688,0.10187204,0.125780017,0.035937148
Vermilion,Illinois,17183,58716,31586,22723,5278,6002,7602,2105,0.537945364,0.386998433,0.08989032,0.10222086,0.129470672,0.035850535
Wabash,Illinois,17185,8944,4218,2996,748,829,1018,296,0.471601073,0.334973166,0.083631485,0.092687835,0.11381932,0.033094812
Warren,Illinois,17187,13298,6371,4814,1059,1175,1525,430,0.479094601,0.362009325,0.079636035,0.088359152,0.114678899,0.03233569
Washington,Illinois,17189,11002,5026,3642,855,930,1167,338,0.456826032,0.331030722,0.077713143,0.084530085,0.106071623,0.030721687
Wayne,Illinois,17191,12624,6011,4280,1135,1270,1533,441,0.476156527,0.339036755,0.089908112,0.100602028,0.121435361,0.03493346
White,Illinois,17193,10677,5381,3822,973,1084,1317,379,0.503980519,0.357965721,0.091130467,0.101526646,0.123349255,0.035496862
Whiteside,Illinois,17195,43426,20084,14939,3532,3879,5164,1438,0.46248791,0.344010501,0.081333763,0.089324368,0.118914936,0.033113803
Will,Illinois,17197,520167,211952,173216,29069,31598,50250,13365,0.40746914,0.333000748,0.055883976,0.060745876,0.096603591,0.025693671
Williamson,Illinois,17199,52407,24426,17976,4106,4638,5925,1677,0.466082775,0.343007613,0.078348312,0.088499628,0.113057416,0.031999542
Winnebago,Illinois,17201,217591,93017,71587,16890,18791,25818,7194,0.427485512,0.328997982,0.077622696,0.08635927,0.118653805,0.033062029
Woodford,Illinois,17203,29215,12120,9144,1980,2119,2712,812,0.414855383,0.312989902,0.067773404,0.072531234,0.092829026,0.027793941
Adams,Indiana,18001,24482,11355,8642,2086,2676,3161,811,0.463810146,0.352994036,0.085205457,0.109304795,0.129115268,0.033126379
Allen,Indiana,18003,278944,129933,105999,20005,24136,34603,8368,0.465803172,0.380001004,0.071716904,0.086526328,0.124049989,0.029998853
Bartholomew,Indiana,18005,63064,29197,20117,4489,5341,7412,1785,0.462974122,0.318993404,0.071181657,0.084691742,0.117531397,0.028304579
Benton,Indiana,18007,6508,3194,2447,580,728,905,224,0.490780578,0.375998771,0.089121082,0.111862323,0.139059619,0.034419176
Blackford,Indiana,18009,9333,4519,3239,867,1073,1314,329,0.484195864,0.347048109,0.092896175,0.114968392,0.140790743,0.035251259
Boone,Indiana,18011,49281,18062,14439,2778,3260,4691,1186,0.36651042,0.292993243,0.056370609,0.066151255,0.095188815,0.02406607
Brown,Indiana,18013,12502,5701,4213,1103,1286,1694,423,0.456007039,0.336986082,0.088225884,0.102863542,0.13549832,0.033834586
Carroll,Indiana,18015,15676,7496,5878,1327,1605,2032,504,0.47818321,0.374968104,0.084651697,0.102385813,0.129624904,0.032151059
Cass,Indiana,18017,29203,14498,10688,2545,3141,4104,995,0.496455844,0.365989796,0.087148581,0.107557443,0.140533507,0.034071842
Clark,Indiana,18019,90984,45730,34483,6670,8419,11159,2693,0.502615845,0.379000703,0.073309593,0.092532753,0.122647938,0.029598611
Clay,Indiana,18021,20146,9962,7212,1675,2088,2686,643,0.494490221,0.357986697,0.083143056,0.103643403,0.133326715,0.031917006
Clinton,Indiana,18023,23796,11266,8781,1925,2363,3171,759,0.473440914,0.369011599,0.080895949,0.099302404,0.13325769,0.031896117
Crawford,Indiana,18025,8283,4446,3206,823,1064,1268,303,0.536762043,0.387057829,0.099360135,0.128455873,0.153084631,0.036580949
Daviess,Indiana,18027,23435,10587,7499,2001,2702,3091,779,0.451760188,0.319991466,0.085385108,0.115297632,0.131896736,0.033240879
Dearborn,Indiana,18029,38506,17448,13131,2969,3693,4696,1157,0.453124188,0.34101179,0.077104867,0.095907131,0.12195502,0.030047265
Decatur,Indiana,18031,20239,8838,6659,1565,1922,2467,606,0.436681654,0.329018232,0.077325955,0.094965166,0.121893374,0.029942191
DeKalb,Indiana,18033,32765,13530,10944,2441,3091,3859,957,0.412940638,0.334014955,0.074500229,0.094338471,0.117778117,0.029207996
Delaware,Indiana,18035,93698,42276,31389,7094,9026,11383,2891,0.451194262,0.335001814,0.075711328,0.096330765,0.121486051,0.030854447
Dubois,Indiana,18037,32288,13482,10720,2444,2943,3774,964,0.417554509,0.332011893,0.075693756,0.091148414,0.11688553,0.029856293
Elkhart,Indiana,18039,148995,65888,52744,11210,14325,18736,4647,0.442216182,0.353998456,0.075237424,0.096144166,0.125749186,0.031188966
Fayette,Indiana,18041,18073,10018,6994,1744,2225,2743,658,0.554307531,0.386986112,0.096497538,0.123111824,0.151773364,0.036407901
Floyd,Indiana,18043,60172,24277,18413,4092,5173,6811,1708,0.403460081,0.306006116,0.068005052,0.085970219,0.113192182,0.028385295
Fountain,Indiana,18045,12783,5944,4423,1107,1362,1717,423,0.464992568,0.346006415,0.08659939,0.106547759,0.134319017,0.033090824
Franklin,Indiana,18047,17505,8255,5934,1447,1783,2224,547,0.471579549,0.33898886,0.082662097,0.101856612,0.127049414,0.031248215
Fulton,Indiana,18049,15392,7445,5680,1322,1631,2081,508,0.483692827,0.369022869,0.085888773,0.105964137,0.135200104,0.033004158
Gibson,Indiana,18051,25607,11722,9244,2002,2476,3095,782,0.457765455,0.36099504,0.078181747,0.096692311,0.120865388,0.030538525
Grant,Indiana,18053,52329,25702,20042,4612,5661,7583,1823,0.491161689,0.382999866,0.088134686,0.108180932,0.144910088,0.03483728
Greene,Indiana,18055,24987,12868,9745,2267,2800,3595,853,0.514987794,0.390002801,0.090727178,0.11205827,0.143874815,0.034137752
Hamilton,Indiana,18057,241033,86962,66284,12292,13373,21750,5371,0.360788772,0.274999689,0.050997166,0.055482029,0.090236607,0.022283256
Hancock,Indiana,18059,58490,26077,19887,3870,4696,6485,1587,0.445836895,0.340006839,0.066165156,0.080287229,0.110873654,0.027132843
Harrison,Indiana,18061,31258,15202,11628,2468,3096,3933,959,0.486339497,0.372000768,0.078955787,0.099046644,0.125823789,0.030680146
Hendricks,Indiana,18063,125229,51541,38445,7363,8561,12618,3084,0.411573996,0.30699758,0.058796285,0.068362759,0.100759409,0.024626884
Henry,Indiana,18065,38394,18996,13975,3372,4090,5096,1268,0.494764807,0.363989165,0.087826223,0.106527062,0.132729072,0.033025994
Howard,Indiana,18067,63686,28362,22099,5442,6556,8486,2137,0.445341205,0.346999341,0.085450491,0.102942562,0.133247496,0.033555255
Huntington,Indiana,18069,28428,12547,10348,2186,2710,3585,858,0.44136063,0.364007317,0.076896018,0.095328549,0.126108062,0.030181511
Jackson,Indiana,18071,33276,17943,13277,2791,3569,4480,1073,0.539217454,0.398996274,0.083874264,0.107254478,0.134631566,0.032245462
Jasper,Indiana,18073,25626,11567,8738,1970,2471,3133,769,0.451377507,0.340981815,0.076875049,0.096425505,0.122258644,0.030008585
Jay,Indiana,18075,15461,7587,5782,1410,1833,2209,539,0.490718582,0.373973223,0.091197206,0.118556368,0.142875623,0.034861911
Jefferson,Indiana,18077,25644,11067,8514,2033,2599,3258,798,0.431562939,0.332007487,0.079277804,0.101349243,0.127047263,0.03111839
Jennings,Indiana,18079,21250,10882,7926,1794,2337,2879,683,0.512094118,0.372988235,0.084423529,0.109976471,0.135482353,0.032141176
Johnson,Indiana,18081,117512,51408,39367,7238,9235,12335,3087,0.437470216,0.335004085,0.06159371,0.078587719,0.104968003,0.026269658
Knox,Indiana,18083,28974,14129,10691,2410,2998,3844,935,0.487644095,0.368985987,0.083178022,0.103472078,0.13267067,0.032270311
Kosciusko,Indiana,18085,60427,26074,20364,4442,5674,7195,1793,0.431495855,0.337001671,0.073510186,0.093898423,0.11906929,0.029672166
LaGrange,Indiana,18087,26551,11635,8629,2131,3037,3312,823,0.43821325,0.324997175,0.08026063,0.114383639,0.124741064,0.030996949
Lake,Indiana,18089,371217,187428,151828,28767,34844,54466,12591,0.504901446,0.409000665,0.077493757,0.093864236,0.146722806,0.033918166
LaPorte,Indiana,18091,86446,45106,33714,7399,9107,12723,2885,0.521782384,0.390000694,0.085591005,0.105349004,0.147178585,0.033373435
Lawrence,Indiana,18093,35728,16559,12362,3139,3878,4812,1197,0.463474026,0.346003135,0.087858262,0.10854232,0.134684281,0.033503135
Madison,Indiana,18095,101603,54545,40946,8730,10899,14871,3420,0.536844385,0.402999911,0.08592266,0.107270455,0.146363788,0.033660423
Marion,Indiana,18097,719459,311012,238141,47200,62062,88052,22519,0.432285926,0.331000099,0.06560485,0.086262039,0.122386404,0.031299907
Marshall,Indiana,18099,34658,16720,12823,2912,3570,4577,1139,0.482428299,0.369986727,0.084021005,0.103006521,0.132061862,0.032863985
Martin,Indiana,18101,7938,3952,3056,717,882,1084,268,0.497858403,0.384983623,0.090325019,0.111111111,0.136558327,0.033761653
Miami,Indiana,18103,28077,14147,10417,2499,3105,3908,939,0.503864373,0.371015422,0.089005236,0.110588738,0.13918866,0.033443744
Monroe,Indiana,18105,123951,42062,33591,7128,8780,11462,3070,0.339343773,0.271002251,0.057506595,0.070834443,0.092472025,0.024767852
Montgomery,Indiana,18107,29563,13979,10672,2365,2943,3675,921,0.472854582,0.36099178,0.079998647,0.099550113,0.124310794,0.031153807
Morgan,Indiana,18109,54270,27659,20731,4212,5471,7052,1641,0.509655427,0.38199742,0.07761194,0.100810761,0.129942878,0.0302377
Newton,Indiana,18111,11057,5621,4124,1014,1273,1618,383,0.508365741,0.372976395,0.091706611,0.115130686,0.14633264,0.03463869
Noble,Indiana,18113,35928,15830,12862,2728,3503,4400,1073,0.440603429,0.357993765,0.075929637,0.097500557,0.122467157,0.029865286
Ohio,Indiana,18115,4733,2157,1529,395,480,613,149,0.455736319,0.323050919,0.083456581,0.101415593,0.129516163,0.03148109
Orange,Indiana,18117,15064,7861,5604,1460,1847,2192,540,0.521840149,0.372012746,0.096919809,0.122610196,0.14551248,0.035847053
Owen,Indiana,18119,16452,8272,5857,1542,1960,2421,575,0.502796013,0.356005349,0.093727206,0.119134452,0.147155361,0.034950158
Parke,Indiana,18121,13280,6569,5206,1179,1493,1829,449,0.494653614,0.392018072,0.08878012,0.112424699,0.137725904,0.033810241
Perry,Indiana,18123,15089,6984,5236,1293,1575,1963,486,0.462853735,0.347007754,0.085691563,0.104380675,0.130094771,0.032208894
Pike,Indiana,18125,9682,4657,3408,856,1053,1325,323,0.480995662,0.35199339,0.088411485,0.108758521,0.13685189,0.033360876
Porter,Indiana,18127,132170,56990,44013,9208,10663,15898,3690,0.431187108,0.333002951,0.069667852,0.080676402,0.120284482,0.02791859
Posey,Indiana,18129,19913,9263,7169,1545,1855,2462,600,0.465173505,0.36001607,0.077587506,0.093155225,0.123637825,0.03013107
Pulaski,Indiana,18131,9690,4720,3392,876,1085,1350,329,0.487100103,0.3500516,0.090402477,0.111971104,0.139318885,0.033952528
Putnam,Indiana,18133,30379,14283,10238,2222,2792,3698,871,0.470160308,0.337009118,0.073142631,0.091905593,0.121728826,0.028671121
Randolph,Indiana,18135,19193,9235,6391,1806,2196,2666,673,0.481165008,0.332985984,0.094096806,0.114416714,0.138904809,0.035064867
Ripley,Indiana,18137,21768,9991,7379,1738,2175,2716,670,0.458976479,0.338983829,0.07984197,0.09991731,0.124770305,0.030779125
Rush,Indiana,18139,12874,6166,4751,1150,1463,1762,436,0.478949821,0.369038372,0.089327326,0.113639894,0.136864999,0.033866708
St. Joseph,Indiana,18141,206766,92042,72368,14844,18610,25783,6329,0.445150557,0.349999516,0.0717913,0.090005127,0.124696517,0.030609481
Scott,Indiana,18143,18473,9730,6946,1596,2153,2496,609,0.526714665,0.376008228,0.086396362,0.116548476,0.135116115,0.032967033
Shelby,Indiana,18145,34423,17393,13081,2703,3406,4457,1063,0.505272637,0.380007553,0.07852308,0.098945473,0.129477384,0.030880516
Spencer,Indiana,18147,15887,7191,5592,1323,1633,2064,504,0.452634229,0.3519859,0.083275634,0.102788443,0.129917543,0.031724051
Starke,Indiana,18149,17706,9113,7082,1619,2074,2599,617,0.514684288,0.399977409,0.091437931,0.117135434,0.1467864,0.034846945
Steuben,Indiana,18151,27467,14148,9971,2268,2720,3539,859,0.515090836,0.363017439,0.082571813,0.099027924,0.128845524,0.031273892
Sullivan,Indiana,18153,16711,8469,6768,1389,1775,2246,537,0.506791933,0.405002693,0.083118904,0.106217462,0.134402489,0.032134522
Switzerland,Indiana,18155,8072,4220,3261,771,986,1205,286,0.522794846,0.403989098,0.095515362,0.122150644,0.149281467,0.03543112
Tippecanoe,Indiana,18157,153065,52468,43164,8250,10628,14474,3676,0.342782478,0.281997844,0.05389867,0.069434554,0.094561134,0.024015941
Tipton,Indiana,18159,11993,5673,4150,1003,1192,1549,381,0.473025932,0.346035187,0.083632119,0.099391312,0.129158676,0.031768532
Union,Indiana,18161,5613,2613,2032,477,603,742,183,0.465526456,0.362016747,0.084981293,0.107429182,0.132193123,0.032602886
Vanderburgh,Indiana,18163,141927,63600,48823,10873,13588,17973,4493,0.448117694,0.344000789,0.076609806,0.095739359,0.126635524,0.03165712
Vermillion,Indiana,18165,12100,5622,4211,1058,1311,1629,402,0.464628099,0.348016529,0.087438017,0.108347107,0.134628099,0.03322314
Vigo,Indiana,18167,85421,39450,27506,6495,8351,10277,2649,0.461830229,0.322005128,0.076035167,0.097762845,0.120309994,0.03101111
Wabash,Indiana,18169,24768,11008,7901,2153,2604,3260,831,0.444444444,0.319000323,0.08692668,0.105135659,0.131621447,0.033551357
Warren,Indiana,18171,6408,2985,2281,534,633,830,203,0.46582397,0.355961298,0.083333333,0.098782772,0.129525593,0.031679151
Warrick,Indiana,18173,47646,20445,15056,3327,3914,5465,1338,0.429102128,0.315997146,0.069827478,0.082147505,0.11470008,0.028082106
Washington,Indiana,18175,21559,10051,8063,1813,2388,2782,692,0.466209008,0.373996939,0.08409481,0.110765805,0.129041236,0.032097964
Wayne,Indiana,18177,51461,24215,18629,4488,5618,7209,1780,0.470550514,0.362002293,0.087211675,0.109170051,0.140086668,0.034589301
Wells,Indiana,18179,21224,9428,6877,1706,2088,2687,662,0.444214097,0.324019977,0.080380701,0.098379193,0.12660196,0.031191104
White,Indiana,18181,18486,9016,6636,1566,1896,2528,600,0.487720437,0.358974359,0.084712756,0.102564103,0.136752137,0.032456994
Whitley,Indiana,18183,26175,10591,8245,1980,2398,3107,771,0.404622732,0.314995224,0.075644699,0.091614136,0.118701051,0.029455587
Adair,Iowa,19001,5535,2418,1959,470,431,636,183,0.436856369,0.353929539,0.084914182,0.077868112,0.114905149,0.033062331
Adams,Iowa,19003,2877,1390,1125,244,224,330,95,0.483142162,0.391032325,0.084810567,0.077858881,0.114702815,0.033020507
Allamakee,Iowa,19005,10580,4929,4105,943,869,1270,362,0.465879017,0.387996219,0.089130435,0.082136106,0.120037807,0.034215501
Appanoose,Iowa,19007,9663,5093,4049,903,855,1241,350,0.527061989,0.419021008,0.093449239,0.088481838,0.128428024,0.036220635
Audubon,Iowa,19009,4381,2096,1590,391,364,517,152,0.478429582,0.362930838,0.08924903,0.083086053,0.118009587,0.034695275
Benton,Iowa,19011,19654,8847,7174,1435,1361,2041,578,0.450137377,0.365014755,0.073013127,0.06924799,0.103846545,0.029408772
Black Hawk,Iowa,19013,103598,40323,33773,6845,6779,9917,2944,0.389225661,0.326000502,0.066072704,0.065435626,0.095725786,0.028417537
Boone,Iowa,19015,20739,9103,7487,1473,1408,2050,604,0.438931482,0.361010656,0.071025604,0.067891412,0.098847582,0.029123873
Bremer,Iowa,19017,19380,8624,6996,1299,1172,1782,531,0.44499484,0.360990712,0.067027864,0.060474716,0.091950464,0.027399381
Buchanan,Iowa,19019,15668,7260,5860,1140,1082,1616,454,0.46336482,0.374010722,0.072759765,0.069057953,0.103140158,0.028976257
Buena Vista,Iowa,19021,14814,6634,5081,1111,1038,1699,464,0.44781963,0.342986364,0.074996625,0.070068854,0.114688808,0.031321723
