stateFips,stateName,stateCode,countyFips,countyName,date,totalGrade
01,Alabama,AL,01077,Lauderdale County,2020-11-08,F
01,Alabama,AL,01077,Lauderdale County,2020-11-07,F
01,Alabama,AL,01077,Lauderdale County,2020-11-06,F
01,Alabama,AL,01077,Lauderdale County,2020-11-05,F
01,Alabama,AL,01077,Lauderdale County,2020-11-04,F
01,Alabama,AL,01077,Lauderdale County,2020-11-03,F
01,Alabama,AL,01077,Lauderdale County,2020-11-02,F
01,Alabama,AL,01077,Lauderdale County,2020-11-01,F
01,Alabama,AL,01077,Lauderdale County,2020-10-31,F
01,Alabama,AL,01077,Lauderdale County,2020-10-30,F
01,Alabama,AL,01077,Lauderdale County,2020-10-29,F
01,Alabama,AL,01077,Lauderdale County,2020-10-28,F
01,Alabama,AL,01077,Lauderdale County,2020-10-27,F
01,Alabama,AL,01077,Lauderdale County,2020-10-26,F
01,Alabama,AL,01077,Lauderdale County,2020-10-25,F
01,Alabama,AL,01077,Lauderdale County,2020-10-24,F
01,Alabama,AL,01077,Lauderdale County,2020-10-23,F
01,Alabama,AL,01077,Lauderdale County,2020-10-22,F
01,Alabama,AL,01077,Lauderdale County,2020-10-21,F
01,Alabama,AL,01077,Lauderdale County,2020-10-20,F
01,Alabama,AL,01077,Lauderdale County,2020-10-19,F
01,Alabama,AL,01077,Lauderdale County,2020-10-18,F
01,Alabama,AL,01077,Lauderdale County,2020-10-17,F
01,Alabama,AL,01077,Lauderdale County,2020-10-16,F
01,Alabama,AL,01077,Lauderdale County,2020-10-15,F
01,Alabama,AL,01077,Lauderdale County,2020-10-14,F
01,Alabama,AL,01077,Lauderdale County,2020-10-13,F
01,Alabama,AL,01077,Lauderdale County,2020-10-12,F
01,Alabama,AL,01077,Lauderdale County,2020-10-11,F
01,Alabama,AL,01077,Lauderdale County,2020-10-10,F
01,Alabama,AL,01077,Lauderdale County,2020-10-09,F
01,Alabama,AL,01077,Lauderdale County,2020-10-08,F
01,Alabama,AL,01077,Lauderdale County,2020-10-07,F
01,Alabama,AL,01077,Lauderdale County,2020-10-06,F
01,Alabama,AL,01077,Lauderdale County,2020-10-05,F
01,Alabama,AL,01077,Lauderdale County,2020-10-04,F
01,Alabama,AL,01077,Lauderdale County,2020-10-03,F
